Workflowid,Submitteddate,Createdby,Updateddate,Stage,Status,Onhold,Onholdreason,Onholdtimeon,Onholdtimeoff,Onholdtotaltime,Checkedout,Checkoutby,Checkedouttime,Checkedintime,Cancelled,Cancelcomment,Rejected,Rejectcomment,Createddate,Workflowname,Draft,Schedulercreated,Stage_1,Stage_1_completed_by,Stage_1_completed_date,Stage_1_rework,Stage_1_reworkreason,Stage_1_rework_date,Stage_1_skipped,Stage_1_sla,Stage_2,Stage_2_completed_by,Stage_2_completed_date,Stage_2_rework,Stage_2_reworkreason,Stage_2_rework_date,Stage_2_skipped,Stage_2_sla,Stage_3,Stage_3_completed_by,Stage_3_completed_date,Stage_3_rework,Stage_3_reworkreason,Stage_3_rework_date,Stage_3_skipped,Stage_3_sla,Stage_4,Stage_4_completed_by,Stage_4_completed_date,Stage_4_rework,Stage_4_reworkreason,Stage_4_rework_date,Stage_4_skipped,Stage_4_sla,Stage_5,Stage_5_completed_by,Stage_5_completed_date,Stage_5_rework,Stage_5_reworkreason,Stage_5_rework_date,Stage_5_skipped,Stage_5_sla,Stage_6,Stage_6_completed_by,Stage_6_completed_date,Stage_6_rework,Stage_6_reworkreason,Stage_6_rework_date,Stage_6_skipped,Stage_6_sla,Stage_7,Stage_7_completed_by,Stage_7_completed_date,Stage_7_rework,Stage_7_reworkreason,Stage_7_rework_date,Stage_7_skipped,Stage_7_sla
IN-AD-2020-64470,01-09-2020 22:44:38,Pm Cbre,01-09-2020 22:46:33,Update MRI,Rework,False,,,,,False,Gpcqcarlm Cbre,01-09-2020 22:45:24,01-09-2020 22:46:18,False,,False,,01-09-2020 22:44:38,Adhoc Request,False,False,True,Pm Cbre,01-09-2020 22:44:38,False,,,False,,False,,,False,,,False,03-09-2020 04:00:00,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",01-09-2020 22:46:33,False,,False,,,False,,,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64471,01-09-2020 22:48:20,Apm Cbre,01-09-2020 22:50:10,Update MRI,Rework,False,,,,,False,Gpcqcarlm Cbre,01-09-2020 22:49:00,01-09-2020 22:49:57,False,,False,,01-09-2020 22:48:20,Adhoc Request,False,False,True,Apm Cbre,01-09-2020 22:48:20,False,,,False,,False,,,False,,,False,03-09-2020 04:00:00,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",01-09-2020 22:50:10,False,,False,,,False,,,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64476,01-09-2020 23:06:50,Pm Cbre,01-09-2020 23:10:13,Update MRI,Rework,False,,,,,False,Gpctlarlm Cbre,01-09-2020 23:07:33,01-09-2020 23:10:00,False,,False,,01-09-2020 23:06:50,Adhoc Request,False,False,True,Pm Cbre,01-09-2020 23:06:50,False,,,False,,False,,,False,,,False,03-09-2020 04:00:00,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",01-09-2020 23:10:14,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64477,01-09-2020 23:11:31,Pm Cbre,01-09-2020 23:14:52,Update MRI,Rework,False,,,,,False,Gpctlarlm Cbre,01-09-2020 23:12:15,01-09-2020 23:14:40,False,,False,,01-09-2020 23:11:31,Adhoc Request,False,False,True,Pm Cbre,01-09-2020 23:11:31,False,,,False,,False,,,False,,,False,03-09-2020 04:00:00,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",01-09-2020 23:14:52,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64478,01-09-2020 23:16:03,Reasarlm Cbre,01-09-2020 23:19:33,Update MRI,Rework,False,,,,,False,Operation Admin,01-09-2020 23:16:47,01-09-2020 23:19:21,False,,False,,01-09-2020 23:16:03,Adhoc Request,False,False,True,Reasarlm Cbre,01-09-2020 23:16:03,False,,,False,,False,,,False,,,False,03-09-2020 04:00:00,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",01-09-2020 23:19:33,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-NL-2020-64556,04-09-2020 10:31:42,Pm Cbre,10-09-2020 17:16:11,Update MRI,Rework,False,,,,,False,Pm Cbre,04-09-2020 10:41:04,10-09-2020 17:14:56,False,,False,,04-09-2020 10:31:42,New Lease,False,False,True,Pm Cbre,04-09-2020 10:31:42,False,,,False,,False,,,False,,,False,,False,,,False,,,False,14-09-2020 04:00:00,False,,,False,,,False,,False,,,True,"Requested for Rework
afddsaf",10-09-2020 17:16:11,False,,False,,,False,,,False,,,,,False,,,,
IN-AD-2020-64568,04-09-2020 20:38:26,Pm Cbre,04-09-2020 20:39:25,Create WorkItem,Rework,False,,,,,False,Gpcarlm Cbre,04-09-2020 20:39:09,04-09-2020 20:39:09,False,,False,,04-09-2020 20:38:26,Adhoc Request,False,False,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",04-09-2020 20:39:25,False,,False,,,False,,,False,,False,,,False,,,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64569,04-09-2020 22:29:51,Pm Cbre,04-09-2020 22:30:53,Create WorkItem,Rework,False,,,,,False,Gpcarlm Cbre,04-09-2020 22:30:37,04-09-2020 22:30:37,False,,False,,04-09-2020 22:29:51,Adhoc Request,False,False,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",04-09-2020 22:30:53,False,,False,,,False,,,False,,False,,,False,,,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-NL-2020-64573,05-09-2020 13:05:58,Apm Cbre,07-09-2020 11:43:10,Create WorkItem,Rework,False,"Hold reason : Waiting on further information from Property Manager
ww",05-09-2020 13:11:51,05-09-2020 13:12:36,0.762466666666666626,False,Apm Cbre,05-09-2020 13:07:45,07-09-2020 11:05:55,False,,False,,05-09-2020 13:05:58,New Lease,False,False,False,,,False,,,False,,False,,,True,"Incorrect Attachment
dfdsfsf",05-09-2020 13:08:17,False,,False,,,True,"Incorrect Data
aaa",05-09-2020 13:55:00,False,,False,,,False,,,False,,False,,,False,,,False,,False,,,False,,,False,,,,,False,,,,
IN-AD-2020-64575,05-09-2020 13:40:23,Pm Cbre,05-09-2020 13:41:23,Create WorkItem,Rework,False,,,,,False,Gpcarlm Cbre,05-09-2020 13:41:07,05-09-2020 13:41:07,False,,False,,05-09-2020 13:40:23,Adhoc Request,False,False,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",05-09-2020 13:41:23,False,,False,,,False,,,False,,False,,,False,,,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64611,05-09-2020 21:15:39,Pm Cbre,05-09-2020 21:16:41,Create WorkItem,Rework,False,,,,,False,Gpcarlm Cbre,05-09-2020 21:16:25,05-09-2020 21:16:25,False,,False,,05-09-2020 21:15:39,Adhoc Request,False,False,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",05-09-2020 21:16:41,False,,False,,,False,,,False,,False,,,False,,,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64612,05-09-2020 21:18:03,Pm Cbre,05-09-2020 21:19:07,Create WorkItem,Rework,False,,,,,False,Gpcarlm Cbre,05-09-2020 21:18:51,05-09-2020 21:18:51,False,,False,,05-09-2020 21:18:03,Adhoc Request,False,False,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",05-09-2020 21:19:07,False,,False,,,False,,,False,,False,,,False,,,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64613,05-09-2020 23:05:58,Pm Cbre,05-09-2020 23:06:58,Create WorkItem,Rework,False,,,,,False,Gpcarlm Cbre,05-09-2020 23:06:41,05-09-2020 23:06:41,False,,False,,05-09-2020 23:05:58,Adhoc Request,False,False,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",05-09-2020 23:06:58,False,,False,,,False,,,False,,False,,,False,,,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64614,05-09-2020 23:08:23,Pm Cbre,05-09-2020 23:09:22,Create WorkItem,Rework,False,,,,,False,Gpcarlm Cbre,05-09-2020 23:09:06,05-09-2020 23:09:06,False,,False,,05-09-2020 23:08:23,Adhoc Request,False,False,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",05-09-2020 23:09:22,False,,False,,,False,,,False,,False,,,False,,,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64615,07-09-2020 09:41:31,Pm Cbre,07-09-2020 09:42:29,Create WorkItem,Rework,False,,,,,False,Gpcarlm Cbre,07-09-2020 09:42:12,07-09-2020 09:42:12,False,,False,,07-09-2020 09:41:31,Adhoc Request,False,False,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",07-09-2020 09:42:29,False,,False,,,False,,,False,,False,,,False,,,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64619,07-09-2020 13:12:25,Pm Cbre,07-09-2020 13:13:27,Create WorkItem,Rework,False,,,,,False,Gpcarlm Cbre,07-09-2020 13:13:10,07-09-2020 13:13:10,False,,False,,07-09-2020 13:12:25,Adhoc Request,False,False,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",07-09-2020 13:13:27,False,,False,,,False,,,False,,False,,,False,,,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64620,07-09-2020 13:14:34,Pm Cbre,07-09-2020 13:15:38,Create WorkItem,Rework,False,,,,,False,Gpcarlm Cbre,07-09-2020 13:15:21,07-09-2020 13:15:21,False,,False,,07-09-2020 13:14:34,Adhoc Request,False,False,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",07-09-2020 13:15:38,False,,False,,,False,,,False,,False,,,False,,,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64621,07-09-2020 13:49:31,Pm Cbre,07-09-2020 13:50:28,Create WorkItem,Rework,False,,,,,False,Gpcarlm Cbre,07-09-2020 13:50:13,07-09-2020 13:50:13,False,,False,,07-09-2020 13:49:31,Adhoc Request,False,False,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",07-09-2020 13:50:28,False,,False,,,False,,,False,,False,,,False,,,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64622,07-09-2020 13:51:53,Pm Cbre,07-09-2020 13:52:53,Create WorkItem,Rework,False,,,,,False,Gpcarlm Cbre,07-09-2020 13:52:37,07-09-2020 13:52:37,False,,False,,07-09-2020 13:51:53,Adhoc Request,False,False,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",07-09-2020 13:52:53,False,,False,,,False,,,False,,False,,,False,,,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64648,07-09-2020 21:23:03,Pm Cbre,07-09-2020 21:24:07,Create WorkItem,Rework,False,,,,,False,Gpcarlm Cbre,07-09-2020 21:23:51,07-09-2020 21:23:51,False,,False,,07-09-2020 21:23:03,Adhoc Request,False,False,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",07-09-2020 21:24:07,False,,False,,,False,,,False,,False,,,False,,,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64649,07-09-2020 21:25:31,Pm Cbre,07-09-2020 21:26:35,Create WorkItem,Rework,False,,,,,False,Gpcarlm Cbre,07-09-2020 21:26:19,07-09-2020 21:26:19,False,,False,,07-09-2020 21:25:31,Adhoc Request,False,False,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",07-09-2020 21:26:35,False,,False,,,False,,,False,,False,,,False,,,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64667,07-09-2020 22:31:54,Pm Cbre,07-09-2020 22:33:53,Update MRI,Rework,False,,,,,False,Gpcqcarlm Cbre,07-09-2020 22:32:40,07-09-2020 22:33:40,False,,False,,07-09-2020 22:31:54,Adhoc Request,False,False,True,Pm Cbre,07-09-2020 22:31:54,False,,,False,,False,,,False,,,False,09-09-2020 04:00:00,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",07-09-2020 22:33:53,False,,False,,,False,,,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64668,07-09-2020 22:35:24,Apm Cbre,07-09-2020 22:37:24,Update MRI,Rework,False,,,,,False,Gpcqcarlm Cbre,07-09-2020 22:36:11,07-09-2020 22:37:10,False,,False,,07-09-2020 22:35:24,Adhoc Request,False,False,True,Apm Cbre,07-09-2020 22:35:24,False,,,False,,False,,,False,,,False,09-09-2020 04:00:00,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",07-09-2020 22:37:24,False,,False,,,False,,,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64701,08-09-2020 01:04:07,Pm Cbre,08-09-2020 01:06:02,Update MRI,Rework,False,,,,,False,Gpcqcarlm Cbre,08-09-2020 01:04:51,08-09-2020 01:05:48,False,,False,,08-09-2020 01:04:07,Adhoc Request,False,False,True,Pm Cbre,08-09-2020 01:04:07,False,,,False,,False,,,False,,,False,09-09-2020 04:00:00,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",08-09-2020 01:06:02,False,,False,,,False,,,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64702,08-09-2020 01:07:37,Apm Cbre,08-09-2020 01:09:36,Update MRI,Rework,False,,,,,False,Gpcqcarlm Cbre,08-09-2020 01:08:19,08-09-2020 01:09:22,False,,False,,08-09-2020 01:07:37,Adhoc Request,False,False,True,Apm Cbre,08-09-2020 01:07:37,False,,,False,,False,,,False,,,False,09-09-2020 04:00:00,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",08-09-2020 01:09:36,False,,False,,,False,,,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64707,08-09-2020 01:30:05,Pm Cbre,08-09-2020 01:33:39,Update MRI,Rework,False,,,,,False,Gpctlarlm Cbre,08-09-2020 01:30:53,08-09-2020 01:33:25,False,,False,,08-09-2020 01:30:05,Adhoc Request,False,False,True,Pm Cbre,08-09-2020 01:30:05,False,,,False,,False,,,False,,,False,09-09-2020 04:00:00,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",08-09-2020 01:33:39,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64708,08-09-2020 01:35:06,Pm Cbre,08-09-2020 01:38:43,Update MRI,Rework,False,,,,,False,Gpctlarlm Cbre,08-09-2020 01:35:51,08-09-2020 01:38:30,False,,False,,08-09-2020 01:35:06,Adhoc Request,False,False,True,Pm Cbre,08-09-2020 01:35:06,False,,,False,,False,,,False,,,False,09-09-2020 04:00:00,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",08-09-2020 01:38:43,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64710,08-09-2020 01:44:40,Apm Cbre,08-09-2020 01:48:17,Update MRI,Rework,False,,,,,False,Reasarlm Cbre,08-09-2020 01:45:29,08-09-2020 01:48:03,False,,False,,08-09-2020 01:44:40,Adhoc Request,False,False,True,Apm Cbre,08-09-2020 01:44:40,False,,,False,,False,,,False,,,False,09-09-2020 04:00:00,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",08-09-2020 01:48:17,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64736,08-09-2020 07:59:28,Pm Cbre,08-09-2020 08:01:59,Update MRI,Rework,False,,,,,False,Gpcqcarlm Cbre,08-09-2020 08:00:24,08-09-2020 08:01:38,False,,False,,08-09-2020 07:59:28,Adhoc Request,False,False,True,Pm Cbre,08-09-2020 07:59:28,False,,,False,,False,,,False,,,False,09-09-2020 08:01:00,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",08-09-2020 08:01:59,False,,False,,,False,,,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64741,08-09-2020 08:24:09,Pm Cbre,08-09-2020 08:27:45,Update MRI,Rework,False,,,,,False,Gpctlarlm Cbre,08-09-2020 08:24:57,08-09-2020 08:27:31,False,,False,,08-09-2020 08:24:09,Adhoc Request,False,False,True,Pm Cbre,08-09-2020 08:24:09,False,,,False,,False,,,False,,,False,09-09-2020 08:27:00,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",08-09-2020 08:27:45,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64742,08-09-2020 08:29:11,Pm Cbre,08-09-2020 08:32:39,Update MRI,Rework,False,,,,,False,Gpctlarlm Cbre,08-09-2020 08:29:55,08-09-2020 08:32:26,False,,False,,08-09-2020 08:29:11,Adhoc Request,False,False,True,Pm Cbre,08-09-2020 08:29:11,False,,,False,,False,,,False,,,False,09-09-2020 08:32:00,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",08-09-2020 08:32:39,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64743,08-09-2020 08:33:46,Reasarlm Cbre,08-09-2020 08:37:24,Update MRI,Rework,False,,,,,False,Operation Admin,08-09-2020 08:34:40,08-09-2020 08:37:10,False,,False,,08-09-2020 08:33:46,Adhoc Request,False,False,True,Reasarlm Cbre,08-09-2020 08:33:46,False,,,False,,False,,,False,,,False,09-09-2020 08:37:00,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",08-09-2020 08:37:24,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64744,08-09-2020 08:38:33,Apm Cbre,08-09-2020 08:42:04,Update MRI,Rework,False,,,,,False,Reasarlm Cbre,08-09-2020 08:39:19,08-09-2020 08:41:50,False,,False,,08-09-2020 08:38:33,Adhoc Request,False,False,True,Apm Cbre,08-09-2020 08:38:33,False,,,False,,False,,,False,,,False,09-09-2020 08:42:00,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",08-09-2020 08:42:04,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64751,08-09-2020 09:07:01,Pm Cbre,08-09-2020 09:08:08,Create WorkItem,Rework,False,,,,,False,Gpcarlm Cbre,08-09-2020 09:07:52,08-09-2020 09:07:52,False,,False,,08-09-2020 09:07:01,Adhoc Request,False,False,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",08-09-2020 09:08:08,False,,False,,,False,,,False,,False,,,False,,,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64752,08-09-2020 09:09:16,Pm Cbre,08-09-2020 09:10:22,Create WorkItem,Rework,False,,,,,False,Gpcarlm Cbre,08-09-2020 09:10:06,08-09-2020 09:10:06,False,,False,,08-09-2020 09:09:16,Adhoc Request,False,False,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",08-09-2020 09:10:23,False,,False,,,False,,,False,,False,,,False,,,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64850,10-09-2020 00:25:32,Pm Cbre,10-09-2020 00:27:32,Update MRI,Rework,False,,,,,False,Gpcqcarlm Cbre,10-09-2020 00:26:19,10-09-2020 00:27:17,False,,False,,10-09-2020 00:25:32,Adhoc Request,False,False,True,Pm Cbre,10-09-2020 00:25:32,False,,,False,,False,,,False,,,False,11-09-2020 04:00:00,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",10-09-2020 00:27:32,False,,False,,,False,,,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64851,10-09-2020 00:29:01,Apm Cbre,10-09-2020 00:30:59,Update MRI,Rework,False,,,,,False,Gpcqcarlm Cbre,10-09-2020 00:29:47,10-09-2020 00:30:45,False,,False,,10-09-2020 00:29:01,Adhoc Request,False,False,True,Apm Cbre,10-09-2020 00:29:01,False,,,False,,False,,,False,,,False,11-09-2020 04:00:00,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",10-09-2020 00:30:59,False,,False,,,False,,,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
IN-AD-2020-64856,10-09-2020 00:51:38,Pm Cbre,10-09-2020 00:55:11,Update MRI,Rework,False,,,,,False,Gpctlarlm Cbre,10-09-2020 00:52:24,10-09-2020 00:54:58,False,,False,,10-09-2020 00:51:38,Adhoc Request,False,False,True,Pm Cbre,10-09-2020 00:51:38,False,,,False,,False,,,False,,,False,11-09-2020 04:00:00,False,,,False,,,False,,False,,,True,"Requested for Rework
Rework comment: Requested for Rework option selected",10-09-2020 00:55:11,False,,,,,False,,,,,,,,False,,,,,,,,False,,,,
